1	0	1068	497
2	6781	8441	302
3	43114	1629	649
4	52706	988	539
5	59537	371	285
6	62483	257	233
7	64678	776	604
8	70852	1423	947
9	81701	899	489
10	88121	324	227
11	90579	104	77
12	91440	425	271
13	94681	557	383
14	99056	148	112
15	100176	175	164
16	101714	532	422
17	106015	305	182
18	108171	574	202
19	111724	190	176
20	113362	805	692
21	119869	601	396
22	124476	33	33
23	124770	573	84
24	127860	211	113
25	129383	301	262
26	131933	330	179
27	134352	864	693
28	141373	210	175
29	143146	71	57
30	143732	1016	642
31	151253	154	139
32	152552	1072	478
33	159791	316	273
34	162467	284	175
35	164623	180	173
36	166168	123	75
37	167059	7	6
38	167114	306	247
39	169601	189	151
40	171080	502	407
41	175196	117	94
42	176152	821	637
43	182787	161	138
44	184133	109	102
45	185070	56	42
46	185512	80	77
47	186222	89	82
48	186991	324	240
49	189620	295	220
50	191900	25	25
51	192130	565	418
52	196628	162	146
53	197973	441	335
54	201546	672	513
55	206773	1025	839
56	215098	813	454
57	220920	1551	1027
58	232477	97	95
59	233310	235	126
60	235042	893	406
61	241243	422	288
62	244429	394	301
63	247564	347	167
64	250008	726	584
65	255951	51	44
66	256374	52	46
67	256797	1383	551
68	266093	1531	1182
69	278020	351	273
70	280853	46	39
71	281234	279	192
72	283335	78	66
73	283978	1005	720
74	291617	254	217
75	293710	1614	1278
76	305893	636	458
77	310851	273	185
78	312901	217	195
79	314773	87	85
80	315531	15	15
81	315655	651	378
82	320294	442	334
83	323921	29	15
84	324148	479	382
85	328078	547	479
86	332652	48	48
87	333075	1357	1134
88	344009	216	201
89	345884	32	30
90	346174	331	312
91	349010	481	281
92	352612	121	112
93	353655	124	90
94	354629	1262	829
95	364296	986	513
96	371043	584	425
97	375682	40	39
98	376036	66	65
99	376629	331	254
100	379318	243	142
101	381135	208	167
102	382822	2278	1401
103	399548	602	509
104	404502	236	216
105	406514	217	184
106	408341	1112	268
107	414124	9	9
108	414208	777	413
109	419750	293	211
110	422138	332	264
111	424865	450	345
112	428535	251	193
113	430587	49	42
114	431006	334	263
115	433698	1555	533
116	443250	586	387
117	447814	235	171
118	449566	55	53
119	450051	126	81
120	451049	1018	649
121	458683	264	206
122	460838	254	190
123	462772	111	64
124	463547	246	154
125	465422	15	15
126	465560	189	187
127	467153	797	604
128	473227	391	284
129	476319	531	474
130	480608	999	984
131	489380	1200	924
132	499022	1935	1500
133	513935	1813	1703
134	528493	223	189
135	530330	679	589
136	535998	917	569
137	542989	463	318
138	546718	574	397
139	551145	433	361
140	554666	174	165
141	556181	622	450
142	561055	1071	950
143	569806	850	565
144	576462	698	460
145	581825	470	328
146	585433	8	8
147	585509	122	60
148	586325	6	2
149	586356	325	322
150	588887	1470	1005
151	600179	1062	721
152	608366	762	681
153	614434	4	4
154	614462	153	142
155	615809	1217	635
156	624251	387	226
157	627201	548	536
158	631750	805	696
159	638411	554	477
160	643090	311	260
161	645599	778	604
162	651804	127	119
163	652918	179	152
164	654485	1314	949
165	664494	1828	1048
166	677347	34	32
167	677637	1638	1500
168	690440	449	418
169	694252	198	190
170	695786	14	12
171	695900	522	432
172	700194	360	295
173	703186	79	34
174	703739	563	352
175	708014	331	288
176	710670	201	186
177	712332	772	663
178	718620	2682	989
179	735245	147	144
180	736556	78	60
181	737191	554	496
182	741797	665	540
183	747263	2087	1494
184	762515	1847	1464
185	777433	992	899
186	785977	2308	1255
187	802525	450	296
188	805802	1477	1116
189	817071	2	2
190	817086	2	2
191	817101	16	2
192	817182	777	399
193	822408	421	372
194	825973	1028	643
195	833720	231	218
196	835568	119	104
197	836634	244	220
198	838679	338	301
199	841467	563	518
200	845990	502	486
201	850133	2	2
202	850148	2	2
203	850163	3533	771
204	870951	648	535
205	876277	286	198
206	878573	388	359
207	881872	1206	785
208	891015	295	178
209	893134	852	712
210	900219	340	308
211	903086	211	149
212	904705	1718	1027
213	917378	342	297
214	920169	1883	384
215	930542	178	162
216	932069	15070	1803
217	1005159	973	661
218	1012540	1130	396
219	1019890	1535	988
220	1031561	870	605
221	1038435	783	467
222	1044194	3	3
223	1044218	36	33
224	1044530	5333	1701
225	1076604	939	413
226	1083052	388	276
227	1086082	93	85
228	1086870	257	110
229	1088557	182	92
230	1089872	202	20
231	1090944	142	58
232	1091900	925	421
233	1098236	895	700
234	1105318	271	199
235	1107500	621	499
236	1112509	110	44
237	1113257	19	19
238	1113423	172	62
239	1114550	112	85
240	1115458	106	97
241	1116378	2683	1464
242	1135586	81	78
243	1136278	703	323
244	1141083	867	593
245	1147935	69	60
246	1148533	538	429
247	1152950	441	322
248	1156404	198	172
249	1158113	111	106
250	1159078	3623	1571
251	1183007	743	525
252	1188834	159	128
253	1190144	73	70
